id,nombre,nombre_kanji,role,anime_id,imagen_url,fecha_extraccion
16976,Wasabi Jirouchou,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/56420.jpg?s=081620f38eb1fc3393ddfa018ee5297b,2025-04-06 20:52:34
16999,Gamakichi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/54034.jpg?s=a1d0d1302e022358635f63c07e8429ce,2025-04-06 20:52:34
17165,Chishima,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/9/63540.jpg?s=e4e114ada252289d19750b4a877f193a,2025-04-06 20:52:34
17197,Tazuna,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/15/53360.jpg?s=cf1c21af6209f5bb9d82f5c4892a83dc,2025-04-06 20:52:34
17199,Genno,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/62778.jpg?s=cad1bb4c3124a3a6c30a352c25c04d46,2025-04-06 20:52:34
17200,Todoroki,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/66166.jpg?s=1f7c3572dc2bf62797a7f73c784540c0,2025-04-06 20:52:34
17298,Namiashi Raidou,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/10/61075.jpg?s=a289ddfea01612615bd12f09ca4d27f3,2025-04-06 20:52:34
17302,Karashi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/57107.jpg?s=9ca59a409730ca411b5984cf61a1a14a,2025-04-06 20:52:34
17305,Ryuugan,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/57108.jpg?s=5df542deeb2f65c79c0d08fab063a160,2025-04-06 20:52:34
17307,Hikyakuya Fukusuke,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/66517.jpg?s=23c232aa2473e337f6e06fce77b7864d,2025-04-06 20:52:34
17310,Ayame,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/130515.jpg?s=e47667162694ef2dd32847cebb0b2a21,2025-04-06 20:52:34
17312,Teuchi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/62801.jpg?s=f109b4042f55fcf076099cea211591b6,2025-04-06 20:52:34
17313,Fuuma Jigumo,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/66518.jpg?s=3980711fbffae5453c8f160669e6d75c,2025-04-06 20:52:34
17316,Fuuma Arashi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/8/57469.jpg?s=d251c959af0cf7d1fc32fc4bee1b4991,2025-04-06 20:52:34
17414,Ranmaru,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/11/55003.jpg?s=11866279222acc75ada8b0353e6af433,2025-04-06 20:52:34
17424,Hokushin,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/62767.jpg?s=9b159f9cb1bb8ce2a77c7ae0e2c70121,10/11/2023
17425,Renga,,SUPPORTING,0,https://cdn.myanimelist.net/images/characters/8/58241.jpg?s=4159a4350a59e3302a1c8ce8b0ad71d3,2025-04-06 20:52:34
17535,Genzou,,SUPPORTING,9738509,https://cdn.myanimelist.net/images/characters/4/66172.jpg?s=de0e8bb08032f5ae069af04079e83290,2025-04-06 20:52:34
17536,Gatsu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/13/63539.jpg?s=5324125b99b03945056d526e905e890e,2025-04-06 20:52:34
17537,Dengaku,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/9/537908.jpg?s=81ab248e1dceab2044da30c352ee30d5,2025-04-06 20:52:34
17538,Akado Manabu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/2/86790.jpg?s=5a399336b508b53c53287ec017086beb,2025-04-06 20:52:34
17539,Hokuto,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/9/63538.jpg?s=9bff001f1cf55c3d0740a90d1a0c89fb,2025-04-06 20:52:34
17540,Mondai,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/4/555901.jpg?s=b4219edd949f8ba718f8760ef956656a,2025-04-06 20:52:34
17541,Nagare,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/15/66488.jpg?s=b6e5d3c20c2b2064cf56f12af493235d,2025-04-06 20:52:34
17542,Nanafushi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/7/63537.jpg?s=1c71abf02b0903c1c6edfd9b54e950eb,2025-04-06 20:52:34
